chinese,pinyin,english,thai
电磁辐射,diàn cí fú shè,Electromagnetic Radiation,รังสีแม่เหล็กไฟฟ้า
应急处理流程,yìng jí chù lǐ liú chéng,Emergency Procedure,ขั้นตอนการรับมือเหตุฉุกเฉิน
应急响应,yìng jí xiǎng yìng,Emergency Response,การตอบสนองเหตุฉุกเฉิน
员工的健康与安全,yuán gōng de jiàn kāng yǔ ān quán,Employee Health and Safety,สุขภาพและความปลอดภัยของพนักงาน
环境,huán jìng,Environment,สิ่งแวดล้อม
EHS（环境、健康与安全）,huán jìng jiàn kāng yǔ ān quán,"Environment, Health and Safety (EHS)",งานด้านสิ่งแวดล้อม สุขภาพ และความปลอดภัย (EHS)
环境污染,huán jìng wū rǎn,Environmental Pollution,มลพิษต่อสิ่งแวดล้อม
环境安全,huán jìng ān quán,Environmental Safety,ความปลอดภัยด้านสิ่งแวดล้อม
设备安全,shè bèi ān quán,Equipment Safety,ความปลอดภัยของอุปกรณ์
疏散,shū sàn,Evacuation,การอพยพ
眼病,yǎn bìng,Eye Disease / Injury (welder's flash),โรคตาจากแสงเชื่อม (welder's flash)
眼睛走神,yǎn jing zǒu shén,Eyes Not on Task,สายตาไม่จดจ่อกับงาน
坠落,zhuì luò,Fall (from height),การตกจากที่สูง
坠落高度基准面,zhuì luò gāo dù jī zhǔn miàn,Fall Height Reference Plane,ระนาบอ้างอิงความสูงจากการตก
物体坠落、撞击,"wù tǐ zhuì luò, zhuàng jī","Falling Objects, Impact",วัตถุตกหล่นและการกระแทก
死亡,sǐ wáng,Fatality / Death,เสียชีวิต
疲劳,pí láo,Fatigue,ความเหนื่อยล้า
碎屑飞溅,suì xiè fēi jiàn,Flying Debris / Splashing Fragments,เศษวัสดุกระเด็น
骨折,gǔ zhé,Fracture,กระดูกหัก
冻伤,dòng shāng,Frostbite,แผลจากความเย็นจัด (frostbite)
受挫,shòu cuò,Frustration,ความคับข้องใจ (frustration)
气瓶,qì píng,Gas Cylinder,ถังแก๊ส (gas cylinder)
气焊,qì hàn,Gas Welding,การเชื่อมแก๊ส (gas welding)
气焊和气割场所,qì hàn hé qì gē chǎng suǒ,Gas Welding and Cutting Site,พื้นที่งานเชื่อมและตัดแก๊ส
气焊安全,qì hàn ān quán,Gas Welding Safety,ความปลอดภัยในการเชื่อมแก๊ส
通用安全,tōng yòng ān quán,General Safety,ความปลอดภัยทั่วไป
地线,dì xiàn,Ground Wire,สายกราวด์ (ground wire)
接地,jiē dì,Grounded,ต่อสายดินแล้ว (grounded)
接地、接零保护,"jiē dì, jiē líng bǎo hù",Grounding / Neutral (PE) Protection,การป้องกันแบบต่อกราวด์และต่อสายศูนย์
接地导体,jiē dì dǎo tǐ,Grounding Conductor,ตัวนำสายกราวด์ (grounding conductor)
接地要求,jiē dì yāo qiú,Grounding Requirements,ข้อกำหนดเรื่องการต่อกราวด์ (grounding)
接地电阻,jiē dì diàn zǔ,Grounding Resistance,ความต้านทานสายกราวด์
装设接地线注意事项,zhuāng shè jiē dì xiàn zhù yì shì xiàng,Grounding Wire Installation Precautions,ข้อควรระวังในการติดตั้งสายกราวด์
接零接地保护,jiē líng jiē dì bǎo hù,Grounding/Earthing Protection,การป้องกันด้วยการต่อกราวด์
搬运事故,bān yùn shì gù,Handling Accident,อุบัติเหตุจากการยกของ
搬运方式,bān yùn fāng shì,Handling Method,วิธีการยกและเคลื่อนย้ายของ
悬挂标识牌,xuán guà biāo shí pái,Hanging Warning / Lockout Tag,การแขวนป้ายเตือน/ป้ายล็อก
有害物质和能量,yǒu hài wù zhì hé néng liàng,Harmful Substances and Energy,สารและพลังงานที่เป็นอันตราย
危化品腐蚀,wēi huà pǐn fǔ shí,Hazardous Chemical Corrosion,การกัดกร่อนจากสารเคมีอันตราย
危险材料处置,wēi xiǎn cái liào chǔ zhì,Hazardous Material Disposal,การกำจัดวัสดุอันตราย
危险工艺,wēi xiǎn gōng yì,Hazardous Process,กระบวนการที่มีความเสี่ยงอันตราย
健康,jiàn kāng,Health,สุขภาพ
健康危害,jiàn kāng wēi hài,Health Hazard,อันตรายต่อสุขภาพ
心脏病,xīn zàng bìng,Heart Disease,โรคหัวใจ
中暑,zhòng shǔ,Heatstroke,ลมแดด (heatstroke)
海因里希法则,hǎi yīn lǐ xī fǎ zé,Heinrich's Law,กฎของไฮน์ริช (Heinrich's Law)
高温灼烫作业,gāo wēn zhuó tàng zuò yè,High-Temperature Scalding/Burn Hazard Work,งานที่มีความเสี่ยงต่อการถูกลวกหรือไหม้จากความร้อนสูง
带电作业,dài diàn zuò yè,Hot Work,งานที่ทำขณะมีไฟฟ้า (hot work)
华为认证或授权的人员,huá wéi rèn zhèng huò shòu quán de rén yuán,Huawei Certified or Authorized Personnel,บุคลากรที่ได้รับการรับรองหรืออนุญาตจาก Huawei
人体电阻,rén tǐ diàn zǔ,Human Body Resistance,ความต้านทานไฟฟ้าของร่างกายมนุษย์
人为失误,rén wéi shī wù,Human Error,ความผิดพลาดจากมนุษย์
装设遮拦,zhuāng shè zhē lán,Installing Barriers / Guardrails,การติดตั้งแผงกั้น/ราวกันตก
装设接地线,zhuāng shè jiē dì xiàn,Installing Grounding Cable,การติดตั้งสายกราวด์ชั่วคราว
绝缘状况,jué yuán zhuàng kuàng,Insulation Condition,สภาพฉนวนไฟฟ้า
绝缘电阻,jué yuán diàn zǔ,Insulation Resistance,ความต้านทานฉนวนไฟฟ้า
联锁装置,lián suǒ zhuāng zhì,Interlock Device,อุปกรณ์ล็อกอินเตอร์ล็อก (interlock)
划伤,huá shāng,Laceration / Cut Injury,แผลบาด
激光,jī guāng,Laser,เลเซอร์
法律、法规,"fǎ lǜ, fǎ guī",Laws and Regulations,กฎหมายและระเบียบข้อบังคับ
平面布置,píng miàn bù zhì,Layout Planning,การวางผังพื้นที่
摆脱电流,bǎi tuō diàn liú,Let-Go Current,กระแสไฟฟ้าระดับที่ยังหลุดมือได้
致命电流,zhì mìng diàn liú,Lethal Current,กระแสไฟฟ้าที่ทำให้เสียชีวิต
生命安全,shēng mìng ān quán,Life Safety,ความปลอดภัยต่อชีวิต (life safety)
防雷/接地,fáng léi / jiē dì,Lightning Protection / Grounding,ระบบป้องกันฟ้าผ่าและสายดิน
防雷验电穿刺接地环,fáng léi yàn diàn chuān cì jiē dì huán,Lightning-Protection Piercing Grounding Ring Tester,อุปกรณ์ตรวจวัดและต่อกราวด์ป้องกันฟ้าผ่าแบบเจาะสาย
危险区域,wēi xiǎn qū yù,Line of Fire / Danger Zone,พื้นที่อันตราย (danger zone)
液化石油气,yè huà shí yóu qì,Liquefied Petroleum Gas (LPG),แก๊สปิโตรเลียมเหลว (LPG)
液体泄漏,yè tǐ xiè lòu,Liquid Spill,การรั่วไหลของของเหลว
带电配电盘,dài diàn pèi diàn pán,Live Panel Board,แผงจ่ายไฟที่มีกระแสไฟฟ้าอยู่
负载存储位置,fù zài cún chǔ wèi zhì,Load Storage Location,ตำแหน่งจัดเก็บสิ่งของที่ยก
负载容积,fù zài róng jī,Load Volume,ปริมาตรของที่บรรทุก
负重载荷,fù zhòng zài hè,Load Weight,น้ำหนักบรรทุก
当地法规和规范,dāng dì fǎ guī hé guī fàn,Local Laws and Standards,กฎหมายและมาตรฐานท้องถิ่น
物流,wù liú,Logistics,โลจิสติกส์ (logistics)
接线松动,jiē xiàn sōng dòng,Loose Connection,จุดต่อสายหลวม
失去平衡/被拖住/被夹住,shī qù píng héng / bèi tuō zhù / bèi jiā zhù,"Loss of Balance / Traction / Grip, Caught In or Between",เสียการทรงตัว / ถูกดึงหรือติดหนีบ
机械安全,jī xiè ān quán,Machine Safety,ความปลอดภัยเกี่ยวกับเครื่องจักร
